Wall time,Step,Value
1690935206.203942,1,0.006021488923579454
1690937812.7336352,2,0.0008574330131523311
1690940424.08351,3,0.0014397739432752132
1690943020.0038493,4,0.0010795146226882935
1690945634.4063995,5,0.0013270903145894408
1690948236.868421,6,0.000732886663172394
1690950838.1400921,7,0.0015155907021835446
1690953438.1323075,8,0.00041161442641168833
1690956038.5285678,9,0.0004797653527930379
1690958640.5662944,10,0.0005089037003926933
1690961247.4850554,11,0.000495165353640914
1690963855.9438784,12,0.0005825228872708976
1690966467.5890007,13,0.00036855164216831326
1690969083.3616407,14,0.00040736133814789355
1690971696.7112722,15,0.0003091914113610983
1690974307.3266103,16,0.0005745230009779334
1690976920.2565308,17,0.0003726290597114712
1690979529.0742826,18,0.00018969835946336389
1690982139.4707525,19,0.00042677391320466995
1690984749.1273081,20,0.00026545440778136253
