Wall time,Step,Value
1691980914.8634808,1,0.9069316983222961
1691985932.6447196,2,0.9764271974563599
1691990936.9602845,3,0.9851149320602417
1691995940.990395,4,0.9888026714324951
1692000950.8405302,5,0.9912899136543274
1692006048.32658,6,0.992749035358429
1692011321.3020785,7,0.9945657849311829
1692016771.080199,8,0.9960663914680481
1692022266.0743256,9,0.997490406036377
1692027774.230776,10,0.9983142018318176
1692033218.9144297,11,0.9991123676300049
1692038706.5719948,12,0.9992624521255493
1692044199.2356877,13,0.999390184879303
1692049635.7956696,14,0.9994699954986572
1692054681.9560332,15,0.9995785355567932
