Wall time,Step,Value
1691980914.8804224,1,0.9798212051391602
1691985932.6467125,2,0.9973562955856323
1691990936.9632728,3,0.9984514713287354
1691995940.9943824,4,0.9987100958824158
1692000950.8435194,5,0.9991986155509949
1692006048.331564,6,0.9993773698806763
1692011321.3020785,7,0.999594509601593
1692016771.0958202,8,0.9997637271881104
1692022266.0743256,9,0.9998340010643005
1692027774.230776,10,0.9998722672462463
1692033218.9144297,11,0.9999840259552002
1692038706.5719948,12,0.9999808669090271
1692044199.2356877,13,0.9999712705612183
1692049635.7992768,14,0.9999712705612183
1692054681.9590237,15,0.9999904036521912
