Wall time,Step,Value
1692555990.5576518,1,0.9882017374038696
1692561087.2807076,2,0.9969078302383423
1692566163.4146953,3,0.9979133009910583
1692571203.0995402,4,0.9981970191001892
1692576057.5513146,5,0.9986855983734131
1692580906.4084496,6,0.9990827441215515
1692585777.8537176,7,0.9993317723274231
1692590630.4697542,8,0.9994673132896423
1692595480.3361464,9,0.9997131824493408
1692600329.586347,10,0.999845564365387
1692605184.0997458,11,0.9999117255210876
1692610040.7422402,12,0.99992436170578
1692614900.3475182,13,0.9999432563781738
1692619760.139748,14,0.9999590516090393
1692624638.6122625,15,0.9999684691429138
