Wall time,Step,Value
1691980914.852516,1,0.0325118713080883
1691985932.6427267,2,0.007899004966020584
1691990936.959288,3,0.005077709909528494
1691995940.9893985,4,0.004846646916121244
1692000950.8385367,5,0.003161389147862792
1692006048.3255835,6,0.0025976563338190317
1692011321.3020785,7,0.0016423295019194484
1692016771.080199,8,0.001449623261578381
1692022266.0743256,9,0.0010090176947414875
1692027774.230776,10,0.0006795263616368175
1692033218.9144297,11,0.00039351527811959386
1692038706.5719948,12,0.00039444619324058294
1692044199.2356877,13,0.0003039903240278363
1692049635.794753,14,0.00036151771200820804
1692054681.9550366,15,0.00031198497163131833
