Wall time,Step,Value
1692555990.5775833,1,0.5703102350234985
1692561087.285691,2,0.209298774600029
1692566163.4176855,3,0.14514218270778656
1692571203.1025271,4,0.11760565638542175
1692576057.554305,5,0.0954916700720787
1692580906.4094462,6,0.07528426498174667
1692585777.8577042,7,0.06264200806617737
1692590630.4727442,8,0.05078732967376709
1692595480.3391347,9,0.03946559876203537
1692600329.5893323,10,0.029199304059147835
1692605184.1027365,11,0.021754205226898193
1692610040.7452307,12,0.019840791821479797
1692614900.3515036,13,0.01797136850655079
1692619760.1417413,14,0.016145404428243637
1692624638.6152499,15,0.014880825765430927
