Wall time,Step,Value
1692555990.5745938,1,0.9672340154647827
1692561087.2846944,2,0.9930496215820312
1692566163.4176855,3,0.9958045482635498
1692571203.1015306,4,0.9970118403434753
1692576057.554305,5,0.9978439807891846
1692580906.4094462,6,0.9984050393104553
1692585777.8567076,7,0.9988305568695068
1692590630.4727442,8,0.9992151260375977
1692595480.3391347,9,0.9994641542434692
1692600329.588335,10,0.9997289180755615
1692605184.1027365,11,0.9999085664749146
1692610040.7452307,12,0.9998928308486938
1692614900.3515036,13,0.9999369382858276
1692619760.1417413,14,0.9999306797981262
1692624638.6152499,15,0.9999684691429138
