Wall time,Step,Value
1692555990.5656233,1,0.4394272565841675
1692561087.2827013,2,0.1801486611366272
1692566163.4146953,3,0.12733887135982513
1692571203.1005342,4,0.10469987988471985
1692576057.552313,5,0.08563532680273056
1692580906.4084496,6,0.0680147036910057
1692585777.8557112,7,0.05741212144494057
1692590630.4707508,8,0.046877145767211914
1692595480.3371415,9,0.03688444197177887
1692600329.58734,10,0.027482079342007637
1692605184.1007426,11,0.02070426009595394
1692610040.7432373,12,0.018869217485189438
1692614900.3495102,13,0.01707492209970951
1692619760.1407435,14,0.015345849096775055
1692624638.6132586,15,0.014177486300468445
