Wall time,Step,Value
1691980914.8574994,1,0.9880810976028442
1691985932.643724,2,0.9973946213722229
1691990936.959288,3,0.9983811974525452
1691995940.9893985,4,0.9983589053153992
1692000950.8385367,5,0.9989750981330872
1692006048.3255835,6,0.9991379380226135
1692011321.3020785,7,0.9994955062866211
1692016771.080199,8,0.9995594024658203
1692022266.0743256,9,0.999696671962738
1692027774.230776,10,0.9997988343238831
1692033218.9144297,11,0.9999329447746277
1692038706.5719948,12,0.9999074339866638
1692044199.2356877,13,0.9999585151672363
1692049635.794753,14,0.9999425411224365
1692054681.9550366,15,0.9999489188194275
