Wall time,Step,Value
1691980914.8744447,1,0.9655236005783081
1691985932.6457162,2,0.9930714964866638
1691990936.962276,3,0.9957184195518494
1691995940.9923887,4,0.9970242381095886
1692000950.8425229,5,0.9977490305900574
1692006048.3295703,6,0.9983524680137634
1692011321.3020785,7,0.9989431500434875
1692016771.0958202,8,0.9991379380226135
1692022266.0743256,9,0.9994667768478394
1692027774.230776,10,0.9997190237045288
1692033218.9144297,11,0.9998946189880371
1692038706.5719948,12,0.9999265670776367
1692044199.2356877,13,0.9999138116836548
1692049635.7976625,14,0.9999169707298279
1692054681.9580271,15,0.9999585151672363
