Wall time,Step,Value
1693008824.6336405,1,0.0004620724357664585
1693011354.132524,2,0.000336889352183789
1693013857.444583,3,0.0004197928064968437
1693016352.1060746,4,0.00028642278630286455
1693018845.87762,5,0.00025796721456572413
1693021334.749376,6,0.0003517263976391405
1693023828.3064005,7,0.0006335851503536105
1693026321.3258753,8,0.00022263400023803115
1693028813.847564,9,0.00016912254795897752
1693031300.399588,10,0.00026051898021250963
1693033788.9064097,11,8.706606604391709e-05
1693036269.1724148,12,8.469205931760371e-05
1693038745.6772273,13,8.730007539270446e-05
1693041228.8363128,14,0.0001016515088849701
1693043718.0841029,15,0.00012180952762719244
