Wall time,Step,Value
1692862084.1550126,1,0.011699766851961613
1692864722.3263648,2,0.010306619107723236
1692867362.2307277,3,0.009778071194887161
1692869997.5902755,4,0.0077890572138130665
1692872629.5243206,5,0.006667912006378174
1692875261.5050209,6,0.005034262780100107
1692877892.1996846,7,0.0059065427631139755
1692880516.2621932,8,0.00580773688852787
1692883134.6230352,9,0.0031507564708590508
1692885747.3100202,10,0.0030199321918189526
1692888366.918249,11,0.004513374529778957
1692890980.131733,12,0.004864709917455912
1692893601.3299043,13,0.003998098894953728
1692896217.256824,14,0.0027910300996154547
1692898821.9383173,15,0.0038030287250876427
