Wall time,Step,Value
1692862084.1599946,1,0.1193000003695488
1692864722.3273613,2,0.07649999856948853
1692867362.2317243,3,0.06719999760389328
1692869997.5912733,4,0.06109999865293503
1692872629.5253174,5,0.05730000138282776
1692875261.5060177,6,0.05350000038743019
1692877892.2006812,7,0.050599999725818634
1692880516.2621932,8,0.04780000075697899
1692883134.6230352,9,0.04520000144839287
1692885747.3110151,10,0.04270000010728836
1692888366.918249,11,0.04039999842643738
1692890980.1327298,12,0.03999999910593033
1692893601.3309026,13,0.039400000125169754
1692896217.2578206,14,0.03880000114440918
1692898821.9383173,15,0.038600001484155655
