Wall time,Step,Value
1691091673.3749614,1,0.00117306609172374
1691094262.7288706,2,0.0005739181069657207
1691096848.7091007,3,0.0007018944597803056
1691099432.4842782,4,0.0004669385962188244
1691102010.5000703,5,0.00014007068239152431
1691104587.6107798,6,0.00033029646147042513
1691107175.4045317,7,6.71154775773175e-05
1691109760.101671,8,0.00016525093815289438
1691112338.9968429,9,0.0001789142843335867
1691114918.4227033,10,0.00014419601939152926
1691117499.9616103,11,0.00021480556461028755
1691120081.0687406,12,0.00016661870176903903
1691122664.6081738,13,6.688474968541414e-05
1691125244.9322238,14,6.670833681710064e-05
1691127835.739076,15,0.00027139708981849253
1691130419.3331594,16,9.836751996772364e-05
1691133003.5606513,17,7.276832184288651e-05
1691135589.6432488,18,5.477167360368185e-05
1691138183.4456341,19,0.00010573898907750845
1691140777.9353895,20,0.00014706670481245965
