Wall time,Step,Value
1693008824.6386578,1,0.03889999911189079
1693011354.132524,2,0.020400000736117363
1693013857.4455798,3,0.016499999910593033
1693016352.1060746,4,0.01549999974668026
1693018845.87762,5,0.013100000098347664
1693021334.7503722,6,0.012299999594688416
1693023828.3064005,7,0.010999999940395355
1693026321.3258753,8,0.009800000116229057
1693028813.847564,9,0.008999999612569809
1693031300.399588,10,0.008200000040233135
1693033788.9064097,11,0.007300000172108412
1693036269.1724148,12,0.0071000000461936
1693038745.6772273,13,0.0071000000461936
1693041228.8363128,14,0.006899999920278788
1693043718.0841029,15,0.006800000090152025
